Date,Status,Action,Message,Connection,Details
"2025-11-21 16:41:30",INFO,completing_draft,"Completing draft syndication - adding image, Yoast data, and publishing",-,"{""post_id"":46739,""spoke_count"":1}"
"2025-11-21 16:40:18",INFO,syndicate_queued,"Post ""1983"" queued for syndication to hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""nYWfuKVde29iM1XTz361vFCk9YTaEe2m"",""status"":""processing""},""async"":true,""job_id"":""nYWfuKVde29iM1XTz361vFCk9YTaEe2m""}"
"2025-11-21 16:40:18",SUCCESS,sync_completed,"Sync completed: ""1983"" successfully synced to hub20spokesite",hub20spokesite,"{""hub_post_id"":46739,""spoke_post_id"":47300,""job_id"":""nYWfuKVde29iM1XTz361vFCk9YTaEe2m""}"
"2025-11-21 16:40:18",INFO,delayed_sync_scheduled,"Scheduled delayed sync in 20 seconds to add image, Yoast data, and publish",-,"{""post_id"":46739,""spoke_count"":1}"
"2025-11-21 16:40:18",INFO,status_transition,"Status transition: draft → publish",-,"{""post_id"":46739,""post_title"":""1983"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}"
"2025-11-21 16:40:16",INFO,wake_up,"Spoke site is already awake",hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}"
"2025-11-21 16:40:15",INFO,status_transition,"Status transition: draft → publish",-,"{""post_id"":46739,""post_title"":""1983"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}"
"2025-11-21 16:40:15",INFO,first_publish,"Triggering syndication for first publish (draft → publish)",-,"{""post_id"":46739,""post_title"":""1983"",""old_status"":""draft"",""new_status"":""publish""}"
"2025-11-21 16:40:15",INFO,spokes_found,"Found 1 selected spokes in POST data for first publish",-,"{""spoke_ids"":[1]}"
"2025-11-21 16:40:15",INFO,draft_create,"Creating draft posts on spoke sites (no image yet)",-,"{""spoke_ids"":[1]}"
"2025-11-21 16:40:15",INFO,debug_content,"DEBUG: Original post content: 1983 1983",-,"{""full_content_length"":9}"
"2025-11-21 16:40:15",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-11-21 16:40:15",INFO,yoast_skip,"Skipping Yoast data for draft creation - will be added in delayed sync",hub20spokesite,"{""post_id"":46739}"
"2025-11-21 16:40:15",INFO,,"Custom Smart Links processing started for: hub20spokesite",-,[]
"2025-11-21 16:40:15",INFO,debug_content,"DEBUG: Final content being sent to spoke: 1983 1983",hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":9}"
"2025-11-21 16:40:15",INFO,wake_up,"Attempting to wake up spoke site",hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}"
"2025-11-21 16:39:45",INFO,status_transition,"Status transition: auto-draft → draft",-,"{""post_id"":46739,""post_title"":""1983"",""old_status"":""auto-draft"",""new_status"":""draft"",""post_type"":""post""}"
"2025-11-21 16:39:45",INFO,status_transition,"Status transition: auto-draft → draft",-,"{""post_id"":46739,""post_title"":""1983"",""old_status"":""auto-draft"",""new_status"":""draft"",""post_type"":""post""}"
"2025-11-21 16:39:34",INFO,status_transition,"Status transition: new → auto-draft",-,"{""post_id"":46739,""post_title"":""Auto Draft"",""old_status"":""new"",""new_status"":""auto-draft"",""post_type"":""post""}"
"2025-11-21 16:39:34",INFO,status_transition,"Status transition: new → auto-draft",-,"{""post_id"":46739,""post_title"":""Auto Draft"",""old_status"":""new"",""new_status"":""auto-draft"",""post_type"":""post""}"
